wall_time,step,value
1527013648.007777,2413,5.0
1527013649.163751,2417,4.0
1527013650.210706,2421,4.0
1527013651.467237,2426,5.0
1527013652.566408,2430,4.0
1527013653.741619,2434,4.0
1527013654.977315,2439,5.0
1527013656.133072,2443,4.0
1527013657.258201,2447,4.0
1527013658.373762,2451,4.0
1527013659.563892,2456,5.0
1527013660.720948,2461,5.0
1527013661.887558,2465,4.0
1527013663.020594,2469,4.0
1527013664.071691,2473,4.0
1527013665.207101,2477,4.0
1527013666.526574,2482,5.0
1527013667.646151,2486,4.0
1527013668.796135,2490,4.0
1527013670.039722,2495,5.0
1527013671.239709,2499,4.0
1527013672.497842,2504,5.0
1527013673.603603,2508,4.0
1527013674.6552,2512,4.0
1527013675.833807,2516,4.0
1527013677.01389,2520,4.0
1527013678.123763,2524,4.0
1527013679.167555,2528,4.0
1527013680.414671,2532,4.0
1527013681.480735,2536,4.0
1527013682.541166,2540,4.0
1527013683.710265,2544,4.0
1527013684.993763,2549,5.0
1527013686.136253,2553,4.0
1527013687.279393,2557,4.0
1527013688.397218,2561,4.0
1527013689.516483,2565,4.0
1527013690.62836,2569,4.0
1527013691.82003,2574,5.0
1527013692.956626,2578,4.0
1527013694.226279,2583,5.0
1527013695.475207,2588,5.0
1527013696.716066,2593,5.0
1527013697.821089,2597,4.0
1527013698.906812,2601,4.0
1527013699.959689,2605,4.0
1527013701.109895,2609,4.0
1527013702.267471,2613,4.0
1527013703.397795,2617,4.0
1527013704.552736,2621,4.0
1527013705.810062,2625,4.0
1527013706.92306,2629,4.0
1527013708.10706,2633,4.0
1527013709.238284,2637,4.0
1527013710.400314,2641,4.0
1527013711.561483,2645,4.0
1527013712.730098,2649,4.0
1527013713.914354,2653,4.0
1527013714.98425,2657,4.0
1527013716.090331,2661,4.0
1527013717.218919,2665,4.0
1527013718.377579,2669,4.0
1527013719.543747,2673,4.0
1527013720.607331,2677,4.0
1527013721.779086,2681,4.0
1527013722.879072,2685,4.0
1527013724.117816,2690,5.0
1527013725.238786,2694,4.0
1527013726.380915,2698,4.0
1527013727.525158,2702,4.0
1527013728.653943,2706,4.0
1527013729.704669,2710,4.0
1527013730.810402,2714,4.0
1527013731.969247,2718,4.0
1527013733.07071,2722,4.0
1527013734.172014,2726,4.0
1527013735.398319,2730,4.0
1527013736.584008,2734,4.0
1527013737.756938,2738,4.0
1527013738.888601,2742,4.0
1527013739.984942,2746,4.0
1527013741.095505,2750,4.0
1527013742.252506,2754,4.0
1527013743.318474,2758,4.0
1527013744.430631,2762,4.0
1527013745.63063,2766,4.0
1527013746.839514,2770,4.0
1527013747.908636,2774,4.0
1527013749.10161,2778,4.0
1527013750.302223,2782,4.0
1527013751.482832,2786,4.0
1527013752.58839,2790,4.0
1527013753.720005,2794,4.0
1527013754.906987,2798,4.0
1527013756.108561,2802,4.0
1527013757.227117,2806,4.0
1527013758.380138,2810,4.0
1527013759.589789,2814,4.0
1527013760.844303,2818,4.0
1527013761.962064,2822,4.0
1527013763.076584,2826,4.0
1527013764.273467,2830,4.0
1527013765.469592,2834,4.0
1527013766.611179,2838,4.0
1527013768.015791,2842,4.0
1527013769.500441,2846,4.0
1527013770.89586,2850,4.0
1527013772.227891,2854,4.0
1527013773.435195,2858,4.0
1527013774.910494,2862,4.0
1527013776.306197,2866,4.0
1527013777.492897,2870,4.0
1527013778.87326,2874,4.0
1527013780.091759,2878,4.0
1527013781.633783,2882,4.0
1527013783.09996,2886,4.0
1527013784.540289,2890,4.0
1527013785.888253,2894,4.0
1527013787.209191,2898,4.0
1527013788.588002,2902,4.0
1527013790.059339,2906,4.0
1527013791.510898,2910,4.0
1527013792.795039,2914,4.0
1527013794.06752,2918,4.0
1527013795.560777,2922,4.0
1527013796.820622,2926,4.0
1527013798.099631,2930,4.0
1527013799.731941,2934,4.0
1527013801.519928,2939,5.0
1527013802.811193,2943,4.0
1527013804.332661,2947,4.0
1527013805.522839,2951,4.0
1527013806.636347,2955,4.0
1527013807.772501,2959,4.0
1527013808.880126,2963,4.0
1527013809.973747,2967,4.0
1527013811.06955,2971,4.0
1527013812.228687,2975,4.0
1527013813.531483,2979,4.0
1527013814.778346,2983,4.0
1527013815.876845,2987,4.0
1527013816.985469,2991,4.0
1527013818.187162,2995,4.0
1527013819.358426,2999,4.0
1527013820.621923,3003,4.0
1527013821.818889,3007,4.0
1527013822.97907,3011,4.0
1527013824.072663,3015,4.0
1527013825.237938,3019,4.0
1527013826.314761,3023,4.0
1527013827.563958,3027,4.0
