wall_time,step,value
1527015230.504466,8188,6.826366424560547
1527015234.427592,8202,8.04906940460205
1527015238.42911,8216,7.29755163192749
1527015242.444865,8230,7.755309104919434
1527015246.083832,8243,7.534185886383057
1527015250.241415,8257,7.695010662078857
1527015254.582761,8272,6.825601577758789
1527015259.031974,8288,7.809031009674072
1527015263.678522,8305,7.296284198760986
1527015268.166227,8321,7.5949530601501465
1527015271.929687,8334,6.846128940582275
1527015276.222143,8349,7.690340995788574
1527015280.28341,8363,7.6172776222229
1527015284.745039,8379,7.856626033782959
1527015289.115903,8395,7.15792179107666
1527015293.332911,8410,7.474247455596924
1527015297.749705,8426,6.896164417266846
1527015301.828198,8440,7.41562032699585
1527015305.814248,8454,6.863709449768066
1527015310.19844,8470,7.246411323547363
1527015314.460095,8484,7.941808223724365
1527015318.493849,8497,7.413544654846191
1527015322.613561,8511,7.640091419219971
1527015327.057613,8526,7.36140251159668
1527015331.626052,8542,7.676263809204102
1527015336.084464,8557,7.730350494384766
1527015340.422444,8572,7.546149253845215
1527015344.769504,8586,7.198705196380615
1527015349.268336,8601,7.266878604888916
1527015353.849811,8616,7.76795768737793
1527015357.996499,8630,6.979183197021484
1527015362.43381,8646,7.335176467895508
1527015366.500973,8660,8.559835433959961
1527015371.039833,8676,7.2180328369140625
1527015374.63007,8687,6.603492259979248
1527015378.84189,8702,7.386590480804443
1527015383.86774,8718,7.529383182525635
1527015388.35779,8733,7.0359416007995605
1527015392.634759,8746,8.43006420135498
1527015397.223321,8761,6.952357769012451
1527015402.046812,8777,7.37755012512207
1527015406.210767,8790,7.312710285186768
1527015410.717268,8805,7.175960063934326
1527015415.518121,8822,6.995408535003662
1527015420.174006,8838,7.59756326675415
1527015424.573482,8853,5.979837417602539
1527015428.865486,8868,7.619053363800049
1527015433.028844,8882,7.38104248046875
1527015437.140695,8896,6.9524641036987305
1527015441.821248,8911,6.948258876800537
1527015446.209884,8925,7.521988391876221
1527015450.746928,8940,7.458014965057373
1527015455.042328,8954,6.794253349304199
1527015459.707879,8970,8.106743812561035
1527015464.181009,8985,7.963688373565674
1527015468.529381,9000,7.174357891082764
1527015473.247909,9016,7.010641098022461
1527015477.859234,9032,7.436112403869629
1527015482.368524,9048,7.361327648162842
1527015486.850687,9063,7.276560306549072
1527015491.484836,9079,6.922988414764404
1527015496.402261,9096,7.328509330749512
1527015500.770599,9111,7.47733211517334
1527015505.103586,9126,6.7067389488220215
1527015509.854803,9142,6.72953987121582
1527015514.461778,9157,6.927855968475342
1527015518.496505,9170,7.420650482177734
1527015522.882165,9185,8.076481819152832
1527015527.365214,9200,7.042637825012207
1527015531.724993,9214,6.6936492919921875
1527015536.391707,9230,6.983602523803711
1527015540.715582,9244,7.386483669281006
1527015545.014335,9258,7.19937801361084
1527015549.725347,9274,7.1562042236328125
1527015554.402612,9290,7.602993965148926
1527015558.83253,9305,6.998019218444824
1527015563.228069,9320,8.022336959838867
1527015567.595566,9335,7.026381015777588
1527015572.498326,9351,6.748441219329834
1527015577.164846,9367,7.782908916473389
1527015581.233796,9380,6.161540508270264
1527015586.043033,9396,7.291330337524414
1527015590.920511,9412,7.243830680847168
1527015595.895398,9428,7.696714878082275
1527015600.643567,9444,7.522881031036377
1527015604.94248,9458,7.972085952758789
1527015609.70904,9474,6.8439621925354
1527015614.389578,9489,7.4214091300964355
1527015618.883569,9504,6.821528434753418
1527015623.486264,9519,7.495992660522461
1527015628.103334,9535,7.706448078155518
1527015632.412417,9549,7.267966270446777
1527015637.117631,9564,7.917141437530518
1527015641.496893,9578,6.405982971191406
1527015645.777615,9591,7.266594886779785
1527015650.00886,9604,8.120631217956543
1527015654.617015,9619,7.5376996994018555
1527015659.065575,9633,7.412105083465576
1527015663.426499,9647,7.562574863433838
1527015667.786131,9661,7.471971035003662
1527015672.358721,9676,7.002014636993408
1527015676.936536,9691,7.534021854400635
1527015681.524643,9706,7.081973075866699
1527015686.049377,9721,6.970202445983887
1527015690.810496,9737,7.584951877593994
1527015695.01815,9750,7.50335168838501
1527015699.639506,9765,7.076067924499512
1527015703.970942,9779,6.901031970977783
